Location,Gender,Age,Occupation,Type,Heard_of_3DCover,Willingness_Usage,Material_Preference,Easy to disassemble,Sturdy and durable,Aesthetic,Lightweight,Main Issue,Price_Preference
Shanghai,F,31-40,HR,AK,Never Heard,Daily usage,Soft Cover,5,5,5,5,Immature Tech,100000
Zhejiang,F,18-25,FT-Student,AK,"Heard, Never Brought",Will not buy,Foam Wrapping,5,5,4,5,Visually unappealling (e.g. protruding knee),2000
Sichuan,F,18-25,Others,AK,Never Heard,Will not buy,Others(No Prosthetic leg),5,3,4,4,Others,1000
Guangxi,F,31-40,Administration/Logistics,BK,"Heard, Never Brought",Daily usage,Hard Cover,5,5,5,5,Immature Tech,1000
Zhejiang,M,41-50,Administration/Logistics,BK,"Heard, Never Brought",Daily usage,Soft Cover,3,5,5,2,Immature Tech,1000
Shandong,M,26-30,Others,AK,"Heard, Never Brought",Will not buy,Hard Cover,5,3,1,3,Too expensive,1000
Zhejiang,F,31-40,Others,AK,"Heard, Never Brought",Others,Foam Wrapping,4,3,3,4,Visually unappealling (e.g. protruding knee),5000
Anhui,F,41-50,Others,AK,"Heard, Never Brought",Will not buy,Others,5,4,5,3,Others,100
Guangdong,M,51-60,Marketing/Public Relations,Double AK,(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped)
Hebei,M,18-25,Sales,AK,"Heard, Never Brought",For socializing purpose,Soft Cover,5,5,5,5,Visually unappealling (e.g. protruding knee),1500
Guangdong,F,18-25,Others,BK,"Heard, Never Brought",For socializing purpose,Soft Cover,3,4,4,2,Too expensive,100
Zhejiang,M,31-40,Sales,AK,"Heard, Never Brought",Will not buy,Soft Cover,5,5,5,5,Others,2000
Guangdong,F,26-30,Customer Service,Others,"Heard, Never Brought",Will not buy,Foam Wrapping,0,5,5,5,Too expensive,500
Sichuan,F,26-30,Customer Service,AK,"Heard, Never Brought",For socializing purpose,Soft Cover,5,5,5,5,Too expensive,500
Zhejiang,M,0-18,FT-Student,AK,"Heard, Never Brought",Will not buy,Others,5,5,0,5,Too expensive,0
Zhejiang,M,31-40,Others,AK,"Heard, Never Brought",Daily usage,Soft Cover,5,5,5,5,Not Practical,1000
Chongqing,M,31-40,Others,BK,"Heard, Never Brought",Others,Others,3,2,2,4,Too expensive,500
Shaanxi,M,18-25,Technical/R&D,BK,"Heard, Never Brought",Will not buy,Soft Cover,4,4,1,4,Material Too Hard,1000
Guangdong,F,26-30,Others,AK,Brought,Daily usage,Soft Cover,3,5,5,5,Immature Tech,1000
Hebei,F,31-40,Teacher,AK,Never Heard,For socializing purpose,Soft Cover,5,5,4,5,Too expensive,30000
Shandong,F,31-40,Others,BK,Never Heard,Daily usage,Foam Wrapping,5,5,5,5,Others (dont understand issue),2000
Shanxi,M,41-50,Sales,AK,"Heard, Never Brought",Will not buy,Others,5,5,5,5,Not Practical,500
Guangdong,F,26-30,Marketing/Public Relations,BK,"Heard, Never Brought",Daily usage,Soft Cover,3,4,5,5,Not Practical,1500
Shaanxi,M,26-30,Marketing/Public Relations,Others,Brought,Daily usage,Soft Cover,4,4,5,5,Not easy to dissemble,3000
Shandong,M,18-25,Others,AK,"Heard, Never Brought",For socializing purpose,Hard Cover,3,3,5,5,Immature Tech,500
Chongqing,M,31-40,Production worker,BK,"Heard, Never Brought",Daily usage,Soft Cover,5,5,5,5,Too expensive,500
Zhejiang,M,41-50,Sales,Others,"Heard, Never Brought",For socializing purpose,Soft Cover,5,5,5,5,Too expensive,200
Zhejiang,F,26-30,Administration/Logistics,AK,"Heard, Never Brought",Daily usage,Foam Wrapping,5,5,5,5,Too expensive,1000
Guizhou,M,41-50,Production worker,AK,"Heard, Never Brought",Will not buy,Foam Wrapping,0,0,5,5,Too expensive,100
Guangdong,M,31-40,Production worker,AK,"Heard, Never Brought",Daily usage,Hard Cover,2,5,2,5,Others,2000
